# GJ, eta w/ only 2->2 processes
# Nf = 0, Lambda/Tc=1.000
# screening: htl
# 1-fnc basis (Legendre)
# MC samples, -10000000
#
# T,       eta/T^3
1.00000000, 0.262796, 0.171029, 0.486771, 1.8137
1.33333333, 0.364386, 0.208871, 0.876258, 2.23878
1.66666667, 0.562249, 0.261513, 1.26838, 2.63537
2.00000000, 0.829509, 0.341599, 1.61973, 3.0076
2.33333333, 1.07802, 0.478034, 1.94002, 3.35436
2.66666667, 1.31299, 0.63739, 2.23322, 3.67637
3.00000000, 1.53079, 0.796203, 2.50936, 3.9816
3.33333333, 1.74119, 0.948209, 2.77712, 4.26571
3.66666667, 1.9338, 1.09297, 3.00711, 4.53328
4.00000000, 2.12182, 1.23576, 3.22218, 4.7567
4.33333333, 2.30618, 1.36763, 3.44652, 5.0334
4.66666667, 2.47482, 1.49404, 3.65117, 5.25927
5.00000000, 2.63542, 1.61996, 3.84327, 5.48127
5.33333333, 2.79009, 1.74113, 4.03312, 5.68119
5.66666667, 2.94049, 1.85652, 4.20765, 5.88463
6.00000000, 3.08607, 1.9702, 4.3811, 6.0684
6.33333333, 3.22756, 2.07493, 4.56808, 6.26898
6.66666667, 3.3604, 2.18361, 4.70764, 6.44245
7.00000000, 3.49446, 2.27987, 4.86675, 6.61163
7.33333333, 3.61402, 2.38133, 5.01432, 6.77971
7.66666667, 3.74324, 2.47903, 5.15872, 6.93169
8.00000000, 3.86384, 2.57479, 5.30941, 7.09388
8.33333333, 3.9758, 2.6681, 5.44013, 7.23906
8.66666667, 4.08734, 2.75904, 5.57441, 7.39503
9.00000000, 4.20443, 2.83896, 5.70131, 7.5456
9.33333333, 4.3174, 2.92565, 5.82673, 7.68079
9.66666667, 4.41609, 3.01903, 5.95347, 7.82003
