# screening: HTL
# MC samples, -100000
#
# Columns: T/lambda, eta/T^3, {lower, upper, omni}
1.0000    -2.844037e-04    -1.644415e-03    9.503731e-01    9.649434e+00
1.5714    1.024107e+00    4.782676e-05    2.562885e+00    1.748699e+01
2.1429    2.815700e+00    8.521677e-01    7.907091e+00    2.779333e+01
2.7143    7.094649e+00    1.306249e+00    1.487790e+01    1.995079e+01
3.2857    3.884448e+00    1.863651e+00    7.434916e+00    2.359806e+01
3.8571    4.572446e+00    2.408108e+00    9.859114e+00    2.829800e+01
4.4286    5.954942e+00    3.005959e+00    9.881401e+00    3.119402e+01
5.0000    6.831677e+00    3.333994e+00    9.976778e+00    2.881910e+01
5.5714    -1.498187e-03    1.719837e-01    2.350037e+01    7.437022e+01
6.1429    7.634602e+00    2.468474e-02    1.299356e+01    3.330797e+01
6.7143    8.626573e+00    -8.926406e-03    1.431514e+01    3.350177e+01
7.2857    8.331012e+00    6.818132e+00    1.482332e+01    3.620575e+01
7.8571    4.784469e-01    7.171611e+00    2.995932e+01    4.064274e+01
8.4286    -3.754887e-03    6.726631e+00    1.898977e+01    4.006927e+01
9.0000    -3.280034e-05    -1.812049e-02    1.652405e+01    3.957903e+01
