# GJ, eta w/ only 2->2 processes
# Nf = 0, Lambda/Tc=1.000
# screening: M_eff, kappa = 1.000
# 1-fnc basis (Legendre)
# MC samples, 10000
#
# T,       eta/T^3
1.00000000,3.33700410
1.20000000,3.83931328
1.40000000,4.30610086
1.60000000,4.74072849
1.80000000,5.14704156
2.00000000,5.52818168
2.20000000,5.88718928
2.40000000,6.22670437
2.60000000,6.54922423
2.80000000,6.85635987
3.00000000,7.14935421
3.20000000,7.42984111
3.40000000,7.69897151
3.60000000,7.95781126
3.80000000,8.22022681
4.00000000,8.46089669
4.20000000,8.69274935
4.40000000,8.91634645
4.60000000,9.15221353
4.80000000,9.36256791
